[INFO][2015-01-04 22:10:28,799][org.hibernate.validator.util.Version]Hibernate Validator 4.2.0.Final
[DEBUG][2015-01-04 22:10:28,811][org.hibernate.validator.engine.resolver.DefaultTraversableResolver]Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
[DEBUG][2015-01-04 22:10:28,820][org.hibernate.validator.xml.ValidationXmlParser]Trying to load META-INF/validation.xml for XML based Validator configuration.
[DEBUG][2015-01-04 22:10:28,824][org.hibernate.validator.xml.ValidationXmlParser]No META-INF/validation.xml found. Using annotation based configuration only
[INFO][2015-01-04 22:10:29,112][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [spring.xml]
[INFO][2015-01-04 22:10:29,699][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [base.xml]
[INFO][2015-01-04 22:10:31,184][org.springframework.context.support.GenericApplicationContext]Refreshing org.springframework.context.support.GenericApplicationContext@2605d6a3: startup date [Sun Jan 04 22:10:31 CST 2015]; root of context hierarchy
[DEBUG][2015-01-04 22:10:31,995][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [E:\workspace\hhn\hhn_manager\target\classes\com\hhn\dao\IAccountRecommendLogDao.class]
[DEBUG][2015-01-04 22:10:31,997][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [E:\workspace\hhn\hhn_manager\target\classes\com\hhn\dao\IAccountUserLogDao.class]
[DEBUG][2015-01-04 22:10:31,998][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [E:\workspace\hhn\hhn_manager\target\classes\com\hhn\dao\IAccountUserThirdDao.class]
[DEBUG][2015-01-04 22:10:32,000][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [E:\workspace\hhn\hhn_manager\target\classes\com\hhn\dao\IBankSdbLogDao.class]
[DEBUG][2015-01-04 22:10:32,002][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [E:\workspace\hhn\hhn_manager\target\classes\com\hhn\dao\IDicBankDao.class]
[DEBUG][2015-01-04 22:10:32,003][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [E:\workspace\hhn\hhn_manager\target\classes\com\hhn\dao\IDicRiskCreditGradeDao.class]
[DEBUG][2015-01-04 22:10:32,004][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [E:\workspace\hhn\hhn_manager\target\classes\com\hhn\dao\IDicRiskFactorDao.class]
[DEBUG][2015-01-04 22:10:32,008][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [E:\workspace\hhn\hhn_manager\target\classes\com\hhn\dao\IDicRiskFactorItemDao.class]
